item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/07),"2,353",1일전 (01/06),"2,353",1주일전 (12/31),"2,147",2주일전 (12/24),"2,205",1개월전,219,1년전,207,일평년,227,2021-01-07
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/08),"2,987",1일전 (01/07),"2,985",1주일전 (01/01),-,2주일전 (12/25),-,1개월전,"60,419",1년전,"51,732",일평년,"45,889",2021-01-08
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/08),"5,979",1일전 (01/07),"5,979",1주일전 (01/01),-,2주일전 (12/25),-,1개월전,"5,727",1년전,"4,183",일평년,"4,435",2021-01-08
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/08),"4,562",1일전 (01/07),"4,562",1주일전 (01/01),-,2주일전 (12/25),-,1개월전,"4,546",1년전,"3,555",일평년,"3,549",2021-01-08
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/08),"3,268",1일전 (01/07),"3,262",1주일전 (01/01),-,2주일전 (12/25),-,1개월전,301,1년전,265,일평년,306,2021-01-08
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/08),"2,353",1일전 (01/07),"2,353",1주일전 (01/01),-,2주일전 (12/25),-,1개월전,219,1년전,207,일평년,227,2021-01-08
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/09),-,1일전 (01/08),"2,987",1주일전 (01/02),-,2주일전 (12/26),-,1개월전,"60,419",1년전,"51,732",일평년,"45,889",2021-01-09
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/09),-,1일전 (01/08),"5,979",1주일전 (01/02),-,2주일전 (12/26),-,1개월전,"5,727",1년전,"4,183",일평년,"4,435",2021-01-09
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/09),-,1일전 (01/08),"4,562",1주일전 (01/02),-,2주일전 (12/26),-,1개월전,"4,546",1년전,"3,555",일평년,"3,549",2021-01-09
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/09),-,1일전 (01/08),"3,268",1주일전 (01/02),-,2주일전 (12/26),-,1개월전,301,1년전,265,일평년,306,2021-01-09
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/09),-,1일전 (01/08),"2,353",1주일전 (01/02),-,2주일전 (12/26),-,1개월전,219,1년전,207,일평년,227,2021-01-09
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/11),"2,987",1일전 (01/10),-,1주일전 (01/04),"2,993",2주일전 (12/28),"3,030",1개월전,"60,447",1년전,"51,777",일평년,"45,871",2021-01-11
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/11),"5,979",1일전 (01/10),-,1주일전 (01/04),"5,958",2주일전 (12/28),"5,838",1개월전,"5,786",1년전,"4,235",일평년,"4,409",2021-01-11
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/11),"4,562",1일전 (01/10),-,1주일전 (01/04),"4,557",2주일전 (12/28),"4,612",1개월전,"4,600",1년전,"3,576",일평년,"3,560",2021-01-11
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/11),"3,152",1일전 (01/10),-,1주일전 (01/04),"3,035",2주일전 (12/28),"2,938",1개월전,298,1년전,281,일평년,308,2021-01-11
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/11),"2,469",1일전 (01/10),-,1주일전 (01/04),"2,156",2주일전 (12/28),"2,178",1개월전,220,1년전,216,일평년,237,2021-01-11
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/12),"2,986",1일전 (01/11),"2,987",1주일전 (01/05),"2,994",2주일전 (12/29),"3,029",1개월전,"60,447",1년전,"51,777",일평년,"45,871",2021-01-12
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/12),"6,035",1일전 (01/11),"5,979",1주일전 (01/05),"5,958",2주일전 (12/29),"5,838",1개월전,"5,786",1년전,"4,235",일평년,"4,409",2021-01-12
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/12),"4,562",1일전 (01/11),"4,562",1주일전 (01/05),"4,557",2주일전 (12/29),"4,612",1개월전,"4,600",1년전,"3,576",일평년,"3,560",2021-01-12
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/12),"3,175",1일전 (01/11),"3,152",1주일전 (01/05),"2,916",2주일전 (12/29),"3,013",1개월전,298,1년전,281,일평년,308,2021-01-12
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/12),"2,411",1일전 (01/11),"2,469",1주일전 (01/05),"2,156",2주일전 (12/29),"2,178",1개월전,220,1년전,216,일평년,237,2021-01-12
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/13),"2,993",1일전 (01/12),"2,986",1주일전 (01/06),"2,993",2주일전 (12/30),"3,029",1개월전,"60,447",1년전,"51,777",일평년,"45,871",2021-01-13
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/13),"6,042",1일전 (01/12),"6,035",1주일전 (01/06),"5,931",2주일전 (12/30),"5,883",1개월전,"5,786",1년전,"4,235",일평년,"4,409",2021-01-13
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/13),"4,587",1일전 (01/12),"4,562",1주일전 (01/06),"4,557",2주일전 (12/30),"4,612",1개월전,"4,600",1년전,"3,576",일평년,"3,560",2021-01-13
감자,152,수미(노지)(1kg),01,상품,04,100g,당일 (01/13),"3,185",1일전 (01/12),"3,175",1주일전 (01/06),"3,141",2주일전 (12/30),"3,028",1개월전,298,1년전,281,일평년,308,2021-01-13
감자,152,수미(노지)(1kg),01,중품,05,100g,당일 (01/13),"2,411",1일전 (01/12),"2,411",1주일전 (01/06),"2,353",2주일전 (12/30),"2,178",1개월전,220,1년전,216,일평년,237,2021-01-13
쌀,111,20kg(1kg),01,상품,04,20kg,당일 (01/14),"2,990",1일전 (01/13),"2,993",1주일전 (01/07),"2,985",2주일전 (12/31),"3,000",1개월전,"60,447",1년전,"51,777",일평년,"45,871",2021-01-14
고구마,151,밤(1kg),00,상품,04,1kg,당일 (01/14),"6,114",1일전 (01/13),"6,042",1주일전 (01/07),"5,979",2주일전 (12/31),"6,072",1개월전,"5,786",1년전,"4,235",일평년,"4,409",2021-01-14
고구마,151,밤(1kg),00,중품,05,1kg,당일 (01/14),"4,599",1일전 (01/13),"4,587",1주일전 (01/07),"4,562",2주일전 (12/31),"4,612",1개월전,"4,600",1년전,"3,576",일평년,"3,560",2021-01-14
